tot_popE,med_incomeE,mon_housE,pct_ten,pct_foreign,maj_foreign,maj_tra,maj_race
4071,74189,2005,0.46155735691476296,0.06632277081798084,FALSE,Car,nh_white
2300,11617,1094,0.9947826086956522,0.2826086956521739,FALSE,Public Transportation,h_latino
7075,44902,3493,0.5621201413427562,0.3711660777385159,FALSE,Walking,nh_white
2398,18088,1136,0.9224353628023353,0.47206005004170143,FALSE,Car,nh_asian
4290,34104,2185,0.5116550116550117,0.31655011655011656,FALSE,Car,nh_white
3734,25078,1543,0.6130155329405463,0.27905731119442956,FALSE,Car,nh_white
2338,27651,856,0.30966638152266895,0.08297690333618478,FALSE,Car,nh_white
8043,41824,2412,0.15591197314434913,0.07770732313813254,FALSE,Car,nh_white
7754,42258,2970,0.3598142893990199,0.0789270054165592,FALSE,Car,nh_white
4323,33277,1631,0.1839000693962526,0.031690955355077495,FALSE,Car,nh_white
4223,19661,1116,0.17215249822401138,0.17333649064645987,FALSE,Car,nh_white
4204,16045,1625,0.7787821122740247,0.3042340627973359,FALSE,Car,h_latino
6949,11144,2337,0.5249676212404663,0.24190531011656352,FALSE,Car,nh_white
2804,40421,1014,0.10912981455064194,0.08666191155492155,FALSE,Car,nh_white
6826,41250,2348,0.17565191913272782,0.1046000585994726,FALSE,Car,nh_white
3720,43576,1471,0.2129032258064516,0.19811827956989247,FALSE,Car,nh_white
3061,26286,1029,0.4652074485462267,0.14178373080692583,FALSE,Car,nh_white
6253,42606,2008,0.14808891731968654,0.02254917639533024,FALSE,Car,nh_white
3276,36412,1219,0.18376068376068377,0.04242979242979243,FALSE,Car,nh_white
2971,31861,1102,0.10467855940760687,0.032985526758667116,FALSE,Car,nh_white
7665,47399,2844,0.0786692759295499,0.029354207436399216,FALSE,Car,nh_white
1754,15813,874,0.8768529076396807,0.11117445838084379,FALSE,Car,nh_white
4764,35368,1821,0.24307304785894207,0.018471872376154493,FALSE,Car,nh_white
5034,27005,1580,0.08720699245133096,0.09316646801748113,FALSE,Car,nh_white
8052,45595,2755,0.09500745156482861,0.038127173373075016,FALSE,Car,nh_white
6208,35933,2395,0.06846005154639176,0.014980670103092784,FALSE,Car,nh_white
5362,40159,2332,0.20589332338679597,0.12364789257739649,FALSE,Car,nh_white
4812,30236,1952,0.4334995843724023,0.1332086450540316,FALSE,Car,nh_white
3517,31870,1510,0.6744384418538527,0.22035825988058003,FALSE,Car,nh_white
7048,16404,2819,0.8437854710556186,0.14685017026106698,FALSE,Car,nh_white
4355,30668,1618,0.6771526980482204,0.2923076923076923,FALSE,Car,nh_white
1735,20951,794,0.8997118155619597,0.2195965417867435,FALSE,Car,nh_white
4525,37447,1532,0.23292817679558012,0.09878453038674033,FALSE,Car,nh_white
3986,46176,1683,0.31886603110888107,0.16181635725037632,FALSE,Car,nh_white
4325,36342,1605,0.3521387283236994,0.13202312138728323,FALSE,Car,nh_white
2675,34306,1053,0.2568224299065421,0.05121495327102804,FALSE,Car,nh_white
8682,34257,3089,0.2294402211472011,0.032020271826768025,FALSE,Car,nh_white
3622,33967,1526,0.19768083931529543,0.012424075096631695,FALSE,Car,nh_white
4781,22031,1907,0.5971554068186572,0.21250784354737504,FALSE,Car,nh_white
2790,27444,1023,0.6204301075268818,0.23870967741935484,FALSE,Car,nh_white
4990,16241,1558,0.6420841683366734,0.07334669338677355,FALSE,Car,nh_white
5539,37384,1949,0.19678642354215561,0.03592706264668713,FALSE,Car,nh_white
5089,51519,1859,0.10473570446060129,0.08331695814501867,FALSE,Car,nh_white
9173,26110,3039,0.13485228387659434,0.14837021694102256,FALSE,Car,nh_white
4905,21361,1851,0.7418960244648318,0.2939857288481142,FALSE,Car,h_latino
3795,14097,1209,0.9575757575757575,0.18840579710144928,FALSE,Car,h_latino
3431,35195,1366,0.4246575342465753,0.22384144564266978,FALSE,Car,nh_white
3555,21669,1820,0.8053445850914205,0.19240506329113924,FALSE,Car,nh_white
2471,40500,1028,0.10076891946580332,0.08417644678267908,FALSE,Car,nh_white
4597,42090,1774,0.3012834457254731,0.1711986077876876,FALSE,Car,nh_white
7713,53511,2604,0.04343316478672371,0.21807338260080383,FALSE,Car,nh_white
3332,48325,1260,0.3097238895558223,0.12995198079231693,FALSE,Car,nh_white
7835,56193,2627,0.11001914486279515,0.06305041480536056,FALSE,Car,nh_white
6058,36789,2129,0.33905579399141633,0.06074612083195774,FALSE,Car,nh_white
6386,34222,2236,0.4542749765111181,0.0704666457876605,FALSE,Car,nh_white
2795,30586,1148,0.3370304114490161,0.07942754919499105,FALSE,Car,nh_white
3713,27615,1606,0.4723942903312685,0.05709668731483975,FALSE,Car,nh_white
4045,33673,1508,0.34758961681087763,0.07688504326328802,FALSE,Car,nh_white
4676,34323,1853,0.26988879384088965,0.044054747647562016,FALSE,Car,nh_white
1518,3373,0,0,0.16073781291172595,FALSE,Walking,nh_white
3701,41125,1517,0.10348554444744663,0.054039448797622264,FALSE,Car,nh_white
3217,41673,1307,0.1405035747590923,0.13397575380789556,FALSE,Car,nh_white
4440,43361,1891,0.10653153153153153,0.028603603603603603,FALSE,Car,nh_white
8870,52004,3135,0.17880496054114994,0.176662908680947,FALSE,Car,nh_white
4642,41250,1732,0.08358466178371392,0.04093063334769496,FALSE,Car,nh_white
3077,37458,1105,0.26161845953851154,0.03997400064998375,FALSE,Car,nh_white
4190,36196,1582,0.24749403341288784,0.056801909307875896,FALSE,Car,nh_white
6837,27134,2956,0.4443469357905514,0.21354395202574228,FALSE,Car,nh_white
