tot_popE,med_incomeE,mon_housE,pct_ten,pct_pubtra,maj_usborn,maj_white
47086,19393,18299,0.4736652083421824,1.2742641124750457e-4,TRUE,FALSE
12028,20041,4563,0.16877286331892252,0,TRUE,TRUE
8321,19418,3164,0.21595962023795218,0.0010816007691383247,TRUE,TRUE
23480,22040,8706,0.19063032367972743,7.240204429301533e-4,TRUE,TRUE
10129,22108,3658,0.14562148287096455,0,TRUE,TRUE
21278,22171,8224,0.3484820001879876,0.0010809286587085253,TRUE,TRUE
7346,16398,2530,0.2511570922951266,0,TRUE,FALSE
13714,22256,4172,0.10026250546886394,0,TRUE,TRUE
35787,25982,13074,0.22636711655070277,0.001788358901277,TRUE,FALSE
7372,16076,3055,0.37805208898535,0,TRUE,FALSE
32592,17612,12159,0.4488831615120275,4.29553264604811e-4,TRUE,FALSE
61223,30522,22213,0.31725005308462506,4.0834326968622905e-4,TRUE,TRUE
84915,26142,32267,0.30165459577224285,0.0011305423070128951,TRUE,TRUE
39737,19491,14676,0.3231245438759846,0.0013841004605279713,TRUE,FALSE
14361,17700,4253,0.19942900912192743,0,TRUE,FALSE
16063,24517,5872,0.1620494303679263,0.0031127435721845236,TRUE,TRUE
18375,21951,6135,0.24631292517006803,0.001034013605442177,TRUE,TRUE
47075,23963,18766,0.32378120021242696,7.859798194370685e-4,TRUE,FALSE
15928,21963,6258,0.1803741838272225,0,TRUE,TRUE
10107,16609,3710,0.20421490056396557,0,TRUE,FALSE
10198,21044,4619,0.2946656207099431,0,TRUE,TRUE
49481,18373,17687,0.43160000808391097,0.0025868515187647784,TRUE,TRUE
55149,23602,20752,0.21166294946417885,1.8132695062467135e-5,TRUE,TRUE
22870,19535,8168,0.2684739833843463,8.745080891998251e-4,TRUE,TRUE
10828,18981,4020,0.27983007018840045,0,TRUE,FALSE
29376,20167,10699,0.26320806100217864,0.0011914488017429193,TRUE,TRUE
151240,32488,55595,0.2212906638455435,3.967204443268976e-5,TRUE,TRUE
28493,25637,10264,0.22816130277612046,1.403853578071807e-4,TRUE,TRUE
12630,25670,4793,0.22604908946951702,0.0023752969121140144,TRUE,TRUE
34243,21600,12447,0.2825102940747014,2.3362439038635634e-4,TRUE,FALSE
12421,23424,5161,0.25456887529184447,8.050881571532082e-4,TRUE,TRUE
17279,21981,6426,0.24607905550089704,0,TRUE,TRUE
28721,22213,9623,0.23021482538908813,3.133595626893214e-4,TRUE,FALSE
23710,24246,7362,0.1471530999578237,0.0037115141290594684,TRUE,TRUE
241774,24851,88705,0.39067889847543574,0.002320348755449304,TRUE,FALSE
21524,21817,8042,0.21464411819364432,0.0013473332094406244,TRUE,TRUE
28356,23209,9951,0.2816335167160389,0,TRUE,TRUE
4511,18870,1755,0.29616493017069384,0.004655287076036355,TRUE,FALSE
21990,22134,7983,0.26571168713051385,9.095043201455206e-5,TRUE,TRUE
75517,20354,28033,0.4010752545784393,0.002052517976084855,TRUE,TRUE
46653,26446,19519,0.22804535614001242,0.0010717424388570938,TRUE,TRUE
53459,22394,19317,0.3473315999176939,0.0029368300940907986,TRUE,TRUE
1328,16894,484,0.37801204819277107,7.530120481927711e-4,TRUE,FALSE
59437,25964,22742,0.37108198596833625,6.72981476184868e-5,TRUE,TRUE
29804,18009,10224,0.4811434706750772,0.0024493356596430008,TRUE,FALSE
8990,14855,2898,0.15650723025583982,5.561735261401557e-4,TRUE,FALSE
202626,25744,78863,0.42615459023027646,0.001722385083849062,TRUE,TRUE
11495,17996,4839,0.20556763810352327,0.004262722923010004,TRUE,FALSE
34432,23452,12827,0.2269400557620818,0.0021782063197026023,TRUE,TRUE
28415,20349,10435,0.2881928558859757,0.003272919232799578,TRUE,TRUE
18358,21565,7396,0.3052620111123216,0.0010349711297526964,TRUE,TRUE
27974,19134,8689,0.3212268535068278,0,TRUE,FALSE
8253,24069,3033,0.17193747728098874,0,TRUE,TRUE
7757,23162,3004,0.23166172489364445,0,TRUE,TRUE
16529,22503,6690,0.13128440922015852,2.4199891100490047e-4,TRUE,FALSE
68454,24171,24774,0.26319864434510765,3.7981710345633563e-4,TRUE,TRUE
35840,24152,14043,0.2427734375,6.975446428571429e-4,TRUE,TRUE
26532,17957,8389,0.3855721393034826,0.0012437810945273632,TRUE,FALSE
9828,21200,3787,0.26495726495726496,0.0014245014245014246,TRUE,TRUE
31547,18003,11341,0.32202745110470093,0.0025042000824167117,TRUE,FALSE
19808,21858,7755,0.3019487075928918,0,TRUE,FALSE
19091,20410,6794,0.1711277565344927,0.0023047509297574775,TRUE,TRUE
8539,15714,3171,0.41995549830190887,0.0037475114181988525,TRUE,FALSE
23102,25185,8562,0.27499783568522207,0.0035494762358237383,TRUE,TRUE
12205,22960,5002,0.24244162228594837,3.277345350266284e-4,TRUE,TRUE
18293,19492,7292,0.27059530968129886,0,TRUE,TRUE
20691,24022,8170,0.2602580832245904,0.0017398869073510222,TRUE,TRUE
22547,20194,8275,0.3301104359781789,7.096287754468443e-4,TRUE,TRUE
7546,24333,2779,0.16485555261065465,0,TRUE,TRUE
10039,23949,3985,0.28040641498157187,0.0071720290865624065,TRUE,TRUE
20137,21342,7755,0.21318965089139394,0.0011421760937577593,TRUE,TRUE
13308,18551,5448,0.25788999098286747,0.002705139765554554,TRUE,TRUE
12281,22210,4669,0.19371386694894552,0.004071329696278805,TRUE,TRUE
78324,26336,29366,0.31521628108881056,0.002464123384913947,TRUE,TRUE
6061,25139,2459,0.28097673651212673,0,TRUE,TRUE
38082,25525,13496,0.24153143217268,0.0014179927524814874,TRUE,TRUE
